tempo, rssi, distancia, nivel_invasao, amostragem
15:35:21.970, -53, 0.5, 0, 3
15:35:24.970, -47, 0.5, 0, 3
15:35:27.970, -51, 0.5, 0, 3
15:35:30.974, -39, 0.5, 0, 3
15:35:33.972, -45, 0.5, 0, 3
15:35:36.973, -37, 0.5, 0, 3
15:35:40.004, -30, 0.5, 0, 3
15:35:43.002, -37, 0.5, 0, 3
15:35:46.003, -32, 0.5, 0, 3
15:35:49.006, -37, 0.5, 0, 3
15:35:52.010, -34, 0.5, 0, 3
15:35:55.014, -40, 0.5, 0, 3
15:35:58.011, -40, 0.5, 0, 3
15:36:01.015, -43, 0.5, 0, 3
15:36:04.015, -41, 0.5, 0, 3
15:36:07.015, -44, 0.5, 0, 3
15:36:10.024, -41, 0.5, 0, 3
15:36:13.022, -46, 0.5, 0, 3
15:36:16.023, -41, 0.5, 0, 3
15:36:19.028, -39, 0.5, 0, 3
15:36:22.026, -41, 0.5, 0, 3
15:36:25.033, -38, 0.5, 0, 3
15:36:28.036, -41, 0.5, 0, 3
15:36:31.037, -41, 0.5, 0, 3
15:36:34.062, -40, 0.5, 0, 3
15:36:37.065, -38, 0.5, 0, 3
15:36:40.061, -41, 0.5, 0, 3
15:36:43.066, -40, 0.5, 0, 3
15:36:46.063, -41, 0.5, 0, 3
15:36:49.063, -40, 0.5, 0, 3
15:36:52.064, -41, 0.5, 0, 3
15:36:55.067, -40, 0.5, 0, 3
15:36:58.073, -40, 0.5, 0, 3
15:37:01.077, -41, 0.5, 0, 3
15:37:04.079, -41, 0.5, 0, 3
15:37:07.086, -40, 0.5, 0, 3
15:37:10.089, -41, 0.5, 0, 3
15:37:13.091, -41, 0.5, 0, 3
15:37:16.094, -41, 0.5, 0, 3
15:37:19.100, -41, 0.5, 0, 3
15:37:22.099, -41, 0.5, 0, 3
15:37:25.099, -41, 0.5, 0, 3
15:37:28.099, -42, 0.5, 0, 3
15:37:31.098, -41, 0.5, 0, 3
15:37:34.100, -42, 0.5, 0, 3
15:37:37.098, -41, 0.5, 0, 3
15:37:40.101, -42, 0.5, 0, 3
15:37:43.138, -41, 0.5, 0, 3
15:37:46.139, -42, 0.5, 0, 3
15:37:49.138, -41, 0.5, 0, 3
15:37:52.138, -42, 0.5, 0, 3
15:37:55.141, -41, 0.5, 0, 3
15:37:58.139, -41, 0.5, 0, 3
15:38:01.141, -41, 0.5, 0, 3
15:38:04.141, -41, 0.5, 0, 3
15:38:07.141, -40, 0.5, 0, 3
15:38:10.140, -42, 0.5, 0, 3
15:38:13.143, -41, 0.5, 0, 3
15:38:16.146, -41, 0.5, 0, 3
15:38:19.146, -40, 0.5, 0, 3
15:38:22.151, -41, 0.5, 0, 3
15:38:25.158, -41, 0.5, 0, 3
15:38:28.159, -41, 0.5, 0, 3
15:38:31.157, -41, 0.5, 0, 3
15:38:34.164, -41, 0.5, 0, 3
15:38:37.164, -41, 0.5, 0, 3
15:38:40.168, -41, 0.5, 0, 3
15:38:43.171, -41, 0.5, 0, 3
15:38:46.173, -41, 0.5, 0, 3
15:38:49.178, -41, 0.5, 0, 3
15:38:52.211, -41, 0.5, 0, 3
15:38:55.212, -38, 0.5, 0, 3
15:38:58.215, -42, 0.5, 0, 3
15:39:01.217, -40, 0.5, 0, 3
15:39:04.220, -41, 0.5, 0, 3
15:39:07.223, -35, 0.5, 0, 3
15:39:10.227, -41, 0.5, 0, 3
15:39:13.231, -47, 0.5, 0, 3
15:39:16.233, -40, 0.5, 0, 3
15:39:19.238, -45, 0.5, 0, 3
15:39:22.243, -40, 0.5, 0, 3
15:39:25.245, -46, 0.5, 0, 3
15:39:28.245, -40, 0.5, 0, 3
15:39:31.248, -43, 0.5, 0, 3
15:39:34.248, -41, 0.5, 0, 3
15:39:37.249, -40, 0.5, 0, 3
15:39:40.248, -39, 0.5, 0, 3
15:39:43.254, -39, 0.5, 0, 3
15:39:46.256, -39, 0.5, 0, 3
15:39:49.260, -40, 0.5, 0, 3
15:39:52.265, -39, 0.5, 0, 3
15:39:55.269, -41, 0.5, 0, 3
15:39:58.270, -38, 0.5, 0, 3
15:40:01.272, -40, 0.5, 0, 3
15:40:04.276, -35, 0.5, 0, 3
15:40:07.270, -40, 0.5, 0, 3
15:40:10.275, -35, 0.5, 0, 3
15:40:13.278, -40, 0.5, 0, 3
15:40:16.284, -46, 0.5, 0, 3
15:40:19.287, -40, 0.5, 0, 3
15:40:22.288, -87, 0.5, 0, 3
15:47:19.998, -50, 0.5, 0, 1
15:47:20.999, -53, 0.5, 0, 1
15:47:21.999, -56, 0.5, 0, 1
15:47:23.000, -47, 0.5, 0, 1
15:47:24.002, -49, 0.5, 0, 1
15:47:25.004, -47, 0.5, 0, 1
15:47:26.005, -47, 0.5, 0, 1
15:47:27.006, -48, 0.5, 0, 1
15:47:28.007, -47, 0.5, 0, 1
15:47:29.007, -46, 0.5, 0, 1
15:47:30.007, -44, 0.5, 0, 1
15:47:31.008, -42, 0.5, 0, 1
15:47:32.010, -42, 0.5, 0, 1
15:47:33.012, -43, 0.5, 0, 1
15:47:34.012, -40, 0.5, 0, 1
15:47:35.009, -36, 0.5, 0, 1
15:47:36.010, -46, 0.5, 0, 1
15:47:37.007, -42, 0.5, 0, 1
15:47:38.006, -42, 0.5, 0, 1
15:47:39.005, -42, 0.5, 0, 1
15:47:40.006, -42, 0.5, 0, 1
15:47:41.005, -39, 0.5, 0, 1
15:47:42.004, -50, 0.5, 0, 1
15:47:43.001, -44, 0.5, 0, 1
15:47:44.000, -41, 0.5, 0, 1
15:47:45.002, -42, 0.5, 0, 1
15:47:46.002, -42, 0.5, 0, 1
15:47:47.030, -40, 0.5, 0, 1
15:47:48.029, -34, 0.5, 0, 1
15:47:49.030, -46, 0.5, 0, 1
15:47:50.030, -41, 0.5, 0, 1
15:47:51.031, -41, 0.5, 0, 1
15:47:52.031, -41, 0.5, 0, 1
15:47:53.032, -41, 0.5, 0, 1
15:47:54.034, -40, 0.5, 0, 1
15:47:55.032, -45, 0.5, 0, 1
15:47:56.032, -40, 0.5, 0, 1
15:47:57.032, -40, 0.5, 0, 1
